CGPA,IQ,Placement
7.44,117.0,Yes
6.29,93.0,Yes
7.66,105.0,Yes
5.14,99.0,No
5.17,107.0,Yes
8.7,101.0,Yes
6.62,81.0,Yes
5.57,115.0,Yes
7.35,93.0,Yes
8.46,77.0,Yes
5.97,94.0,Yes
7.8,123.0,Yes
5.38,113.0,Yes
5.23,95.0,Yes
7.39,95.0,Yes
7.43,95.0,Yes
7.87,131.0,Yes
8.27,106.0,Yes
9.39,106.0,Yes
7.32,115.0,Yes
6.45,104.0,Yes
8.58,96.0,Yes
6.22,97.0,No
6.98,99.0,Yes
5.35,99.0,Yes
5.11,111.0,Yes
9.33,101.0,Yes
8.76,111.0,Yes
8.13,99.0,Yes
6.84,101.0,Yes
5.78,70.0,Yes
5.7,114.0,Yes
6.13,105.0,No
7.47,115.0,Yes
8.22,57.0,No
7.97,131.0,Yes
6.26,98.0,No
9.3,117.0,Yes
8.32,84.0,Yes
7.49,109.0,Yes
7.75,84.0,Yes
6.89,91.0,Yes
6.11,129.0,No
6.6,97.0,Yes
8.41,103.0,Yes
5.06,113.0,No
5.52,107.0,Yes
5.21,102.0,Yes
5.18,105.0,Yes
8.85,136.0,Yes
8.17,99.0,Yes
7.13,103.0,Yes
5.44,116.0,Yes
7.21,117.0,Yes
7.13,118.0,Yes
5.78,110.0,Yes
6.95,83.0,No
6.79,125.0,Yes
7.77,83.0,Yes
7.86,105.0,Yes
5.2,89.0,No
6.69,99.0,Yes
7.82,105.0,Yes
7.26,105.0,Yes
8.85,106.0,Yes
7.96,124.0,Yes
5.73,107.0,No
5.32,96.0,Yes
7.89,114.0,Yes
5.12,118.0,No
7.64,82.0,Yes
9.23,109.0,Yes
7.59,111.0,Yes
6.75,96.0,Yes
7.89,121.0,Yes
7.06,98.0,Yes
7.46,102.0,Yes
9.24,97.0,Yes
6.74,100.0,Yes
9.33,84.0,No
9.07,78.0,No
5.88,124.0,Yes
5.31,87.0,Yes
5.45,85.0,Yes
5.08,68.0,Yes
5.42,90.0,No
8.07,80.0,No
5.32,125.0,No
6.44,115.0,Yes
8.8,90.0,Yes
5.1,134.0,Yes
8.67,115.0,Yes
6.27,95.0,Yes
5.53,63.0,No
8.14,134.0,Yes
7.83,79.0,Yes
8.95,75.0,No
8.31,115.0,Yes
8.62,137.0,Yes
6.27,121.0,No
5.8,108.0,Yes
8.38,109.0,Yes
8.63,113.0,Yes
9.46,111.0,Yes
6.86,104.0,Yes
6.67,102.0,Yes
8.49,99.0,Yes
6.53,89.0,Yes
9.19,96.0,Yes
8.86,75.0,No
6.93,99.0,Yes
8.38,85.0,Yes
8.4,83.0,Yes
5.46,103.0,Yes
9.06,121.0,Yes
7.27,114.0,Yes
8.72,76.0,Yes
6.44,85.0,Yes
9.03,114.0,Yes
6.75,85.0,Yes
5.05,97.0,Yes
9.07,108.0,Yes
5.41,85.0,No
6.44,102.0,Yes
9.28,80.0,Yes
9.28,91.0,Yes
7.58,105.0,Yes
7.84,76.0,Yes
7.02,107.0,Yes
6.32,100.0,Yes
6.48,108.0,No
8.03,103.0,Yes
8.39,120.0,Yes
8.56,102.0,Yes
8.55,94.0,Yes
5.41,102.0,No
7.22,108.0,Yes
5.26,101.0,No
7.47,101.0,Yes
6.99,89.0,Yes
8.99,90.0,Yes
6.58,79.0,Yes
5.53,126.0,No
5.64,81.0,Yes
8.43,90.0,Yes
7.78,89.0,Yes
5.46,113.0,Yes
5.38,96.0,No
8.15,119.0,Yes
5.33,90.0,No
8.7,104.0,Yes
8.18,87.0,Yes
5.37,132.0,Yes
5.38,82.0,Yes
9.44,105.0,Yes
6.68,110.0,Yes
6.67,106.0,Yes
8.66,97.0,Yes
9.26,98.0,Yes
9.44,101.0,Yes
8.39,98.0,Yes
6.69,114.0,Yes
5.38,133.0,Yes
8.5,92.0,Yes
7.51,79.0,Yes
6.91,99.0,Yes
9.08,139.0,Yes
5.5,88.0,No
7.22,125.0,Yes
5.05,125.0,No
7.11,92.0,Yes
5.25,109.0,Yes
5.53,124.0,Yes
5.53,94.0,Yes
7.92,97.0,Yes
8.36,91.0,Yes
7.63,85.0,Yes
9.33,90.0,Yes
6.69,82.0,Yes
6.29,101.0,Yes
8.91,88.0,Yes
6.01,104.0,Yes
9.33,77.0,Yes
5.05,105.0,No
9.36,113.0,Yes
5.19,70.0,Yes
9.01,106.0,Yes
7.37,118.0,Yes
9.47,82.0,Yes
5.33,125.0,No
7.49,106.0,Yes
9.36,89.0,Yes
7.35,99.0,Yes
7.83,108.0,Yes
8.13,101.0,Yes
7.05,108.0,Yes
7.82,86.0,Yes
7.63,103.0,Yes
9.06,79.0,Yes
5.2,98.0,No
6.26,86.0,Yes
9.28,89.0,Yes
9.01,119.0,Yes
7.05,116.0,Yes
7.79,109.0,Yes
6.25,84.0,Yes
5.85,95.0,Yes
7.09,118.0,Yes
6.59,102.0,Yes
7.63,135.0,Yes
5.35,106.0,No
9.38,103.0,Yes
9.44,95.0,Yes
8.14,102.0,Yes
7.41,98.0,Yes
6.39,111.0,Yes
8.66,114.0,Yes
8.08,88.0,Yes
5.73,80.0,Yes
9.1,72.0,Yes
8.7,108.0,Yes
9.27,83.0,No
8.27,68.0,Yes
7.76,106.0,Yes
6.88,137.0,Yes
9.2,100.0,Yes
8.9,113.0,Yes
5.2,101.0,No
5.12,99.0,Yes
6.69,114.0,Yes
8.65,96.0,Yes
9.44,104.0,Yes
5.68,105.0,Yes
7.67,90.0,Yes
6.71,115.0,Yes
9.36,97.0,Yes
8.79,89.0,Yes
8.77,108.0,Yes
7.11,87.0,Yes
6.87,100.0,Yes
6.23,100.0,Yes
5.25,116.0,Yes
8.89,107.0,Yes
8.66,100.0,Yes
9.5,112.0,No
9.48,121.0,Yes
7.5,108.0,Yes
8.46,100.0,Yes
9.25,80.0,Yes
8.82,84.0,Yes
6.11,95.0,No
7.03,91.0,Yes
5.58,97.0,No
9.29,101.0,Yes
7.73,108.0,Yes
6.03,99.0,Yes
8.02,107.0,Yes
7.78,101.0,Yes
6.61,70.0,No
5.51,86.0,Yes
8.02,98.0,Yes
7.34,82.0,No
8.48,109.0,Yes
7.34,123.0,Yes
8.83,118.0,Yes
7.48,97.0,Yes
7.52,122.0,Yes
8.94,102.0,Yes
6.82,95.0,Yes
5.6,91.0,Yes
5.13,95.0,No
8.4,94.0,Yes
7.79,103.0,Yes
8.17,102.0,Yes
5.96,100.0,No
5.61,107.0,No
5.07,118.0,Yes
6.58,114.0,Yes
7.65,78.0,No
6.77,62.0,Yes
6.97,114.0,Yes
9.07,79.0,No
6.57,97.0,Yes
7.31,82.0,Yes
8.53,73.0,Yes
6.78,108.0,Yes
7.8,111.0,Yes
8.88,91.0,Yes
9.27,61.0,Yes
5.66,92.0,Yes
9.17,106.0,Yes
7.21,78.0,No
6.16,103.0,Yes
7.07,100.0,Yes
9.41,109.0,Yes
7.22,102.0,Yes
6.48,85.0,Yes
7.85,118.0,Yes
6.08,98.0,Yes
5.34,100.0,Yes
5.58,86.0,Yes
5.58,93.0,Yes
5.68,87.0,Yes
5.62,97.0,Yes
7.88,126.0,No
5.82,79.0,No
6.56,76.0,Yes
9.04,122.0,Yes
7.13,97.0,Yes
8.0,90.0,Yes
5.78,116.0,Yes
5.87,91.0,Yes
5.18,127.0,Yes
5.76,110.0,Yes
6.25,93.0,No
5.8,132.0,No
5.4,91.0,No
5.54,111.0,No
7.07,104.0,Yes
5.93,120.0,Yes
6.64,123.0,Yes
7.27,100.0,Yes
8.11,89.0,Yes
5.18,107.0,Yes
8.6,90.0,Yes
7.83,130.0,Yes
5.37,102.0,Yes
8.93,95.0,Yes
9.14,103.0,Yes
5.27,80.0,Yes
6.25,85.0,Yes
8.63,118.0,Yes
8.37,90.0,Yes
5.83,84.0,Yes
5.94,108.0,Yes
6.67,118.0,Yes
7.18,111.0,Yes
7.78,115.0,Yes
6.66,89.0,Yes
7.08,79.0,Yes
8.36,123.0,Yes
5.17,95.0,No
6.14,96.0,Yes
8.21,120.0,Yes
9.03,108.0,Yes
7.3,107.0,Yes
7.39,132.0,Yes
5.48,90.0,No
7.01,114.0,Yes
7.4,101.0,No
6.09,104.0,Yes
6.21,123.0,Yes
6.7,108.0,Yes
5.09,108.0,Yes
6.45,116.0,Yes
5.95,95.0,No
6.47,87.0,No
5.54,84.0,Yes
9.01,71.0,Yes
7.67,131.0,Yes
8.06,83.0,No
8.55,97.0,Yes
7.24,96.0,Yes
5.39,105.0,Yes
7.42,112.0,Yes
7.64,113.0,Yes
8.35,91.0,Yes
6.94,97.0,Yes
5.57,104.0,Yes
6.28,96.0,No
6.63,124.0,Yes
7.91,107.0,Yes
7.57,111.0,Yes
6.6,110.0,Yes
9.44,118.0,Yes
7.73,103.0,Yes
6.07,81.0,Yes
5.46,106.0,Yes
5.69,90.0,No
6.11,92.0,No
5.72,109.0,No
5.84,119.0,Yes
6.28,100.0,Yes
5.78,105.0,No
9.04,126.0,Yes
5.36,104.0,Yes
7.36,139.0,Yes
6.85,108.0,Yes
9.42,74.0,No
5.5,111.0,No
6.79,106.0,Yes
9.36,119.0,Yes
8.89,110.0,Yes
8.68,98.0,Yes
6.16,82.0,Yes
5.77,97.0,No
8.01,87.0,Yes
9.18,91.0,Yes
7.51,109.0,Yes
7.57,125.0,Yes
6.26,106.0,No
8.46,82.0,Yes
5.84,107.0,No
6.46,118.0,Yes
6.91,91.0,Yes
7.28,98.0,Yes
6.09,100.0,Yes
5.52,88.0,No
7.75,110.0,Yes
6.3,98.0,No
7.62,106.0,Yes
5.69,87.0,No
7.17,93.0,Yes
7.4,111.0,Yes
5.23,94.0,Yes
6.51,126.0,Yes
5.6,94.0,Yes
5.29,103.0,Yes
9.45,114.0,No
6.45,79.0,Yes
8.64,74.0,Yes
6.15,77.0,No
8.07,119.0,Yes
8.42,92.0,Yes
7.68,138.0,Yes
7.12,92.0,Yes
6.85,103.0,Yes
6.57,123.0,Yes
9.18,130.0,Yes
8.74,131.0,Yes
9.34,118.0,Yes
5.56,115.0,Yes
8.29,109.0,Yes
9.22,112.0,Yes
5.82,92.0,Yes
5.3,88.0,Yes
8.34,100.0,Yes
7.59,97.0,Yes
8.79,93.0,Yes
5.63,110.0,Yes
8.58,114.0,Yes
5.91,101.0,Yes
5.74,122.0,No
5.74,83.0,Yes
8.67,97.0,Yes
7.99,89.0,Yes
7.35,72.0,Yes
6.61,99.0,Yes
8.95,98.0,Yes
6.77,123.0,Yes
8.67,109.0,Yes
6.98,85.0,Yes
6.7,128.0,Yes
7.08,118.0,Yes
6.36,109.0,Yes
8.36,97.0,Yes
7.26,86.0,Yes
6.04,94.0,Yes
9.05,116.0,Yes
6.73,128.0,Yes
7.45,123.0,Yes
9.08,93.0,Yes
7.81,83.0,Yes
5.53,102.0,Yes
9.23,73.0,No
7.82,105.0,Yes
6.51,98.0,Yes
5.63,93.0,No
8.57,76.0,No
7.79,108.0,Yes
7.4,92.0,Yes
9.02,82.0,Yes
8.55,57.0,No
5.68,100.0,Yes
6.4,127.0,Yes
6.12,125.0,No
8.35,93.0,Yes
5.15,91.0,Yes
7.56,107.0,Yes
8.43,85.0,Yes
8.95,105.0,Yes
6.54,111.0,Yes
8.7,118.0,Yes
5.5,98.0,No
8.81,97.0,Yes
5.57,87.0,No
6.79,88.0,Yes
8.59,97.0,Yes
5.67,106.0,Yes
6.03,114.0,No
8.25,88.0,Yes
8.24,122.0,No
7.89,96.0,Yes
8.12,100.0,Yes
7.44,89.0,Yes
6.13,64.0,No
6.56,113.0,Yes
5.82,111.0,No
9.09,96.0,Yes
7.63,101.0,Yes
6.8,108.0,Yes
7.08,77.0,Yes
9.26,92.0,Yes
5.69,112.0,No
7.64,81.0,Yes
7.28,104.0,Yes
7.75,80.0,Yes
5.08,107.0,Yes
8.92,99.0,Yes
9.19,76.0,No
7.54,117.0,Yes
8.13,89.0,No
9.15,88.0,Yes
8.18,103.0,Yes
5.69,117.0,Yes
7.59,85.0,Yes
7.73,101.0,Yes
6.91,106.0,Yes
8.31,110.0,Yes
9.2,103.0,Yes
9.17,94.0,Yes
7.03,88.0,Yes
5.51,101.0,No
9.43,84.0,Yes
8.78,56.0,No
5.56,107.0,Yes
9.14,114.0,Yes
8.91,65.0,Yes
7.33,85.0,Yes
7.66,109.0,Yes
6.8,131.0,Yes
5.25,100.0,No
6.51,89.0,Yes
8.61,97.0,Yes
5.02,121.0,Yes
6.5,90.0,Yes
6.79,88.0,Yes
7.42,93.0,Yes
9.14,86.0,Yes
6.56,102.0,No
6.56,124.0,Yes
8.32,105.0,Yes
7.03,96.0,Yes
6.01,96.0,Yes
7.04,77.0,Yes
5.63,113.0,Yes
5.79,99.0,No
7.24,97.0,Yes
6.89,148.0,Yes
9.12,104.0,Yes
6.63,89.0,Yes
7.61,94.0,Yes
7.85,117.0,Yes
5.06,102.0,Yes
7.99,78.0,Yes
5.8,114.0,Yes
9.32,90.0,Yes
5.67,128.0,Yes
6.87,116.0,Yes
5.38,93.0,Yes
9.49,119.0,Yes
7.26,101.0,Yes
7.68,113.0,Yes
5.3,107.0,No
8.37,87.0,Yes
5.94,90.0,Yes
9.04,115.0,Yes
5.92,95.0,Yes
5.86,94.0,Yes
5.16,86.0,No
7.12,106.0,Yes
7.54,131.0,Yes
5.3,84.0,Yes
8.49,100.0,Yes
7.04,121.0,Yes
7.36,99.0,Yes
6.98,107.0,Yes
6.8,84.0,No
7.52,106.0,Yes
5.7,97.0,Yes
5.82,115.0,Yes
8.88,118.0,Yes
9.26,139.0,Yes
6.68,109.0,Yes
6.22,105.0,No
7.9,103.0,Yes
6.84,95.0,Yes
5.11,105.0,Yes
5.7,96.0,No
8.22,103.0,Yes
7.97,120.0,Yes
5.12,85.0,Yes
6.0,117.0,No
6.04,120.0,Yes
8.02,98.0,Yes
5.09,68.0,Yes
5.47,91.0,No
8.6,119.0,Yes
5.8,100.0,Yes
7.94,85.0,Yes
6.07,92.0,No
5.45,113.0,Yes
6.09,108.0,Yes
8.25,96.0,Yes
8.85,94.0,Yes
8.74,94.0,Yes
6.79,86.0,Yes
8.01,124.0,Yes
5.92,95.0,No
6.32,118.0,No
9.03,123.0,Yes
5.06,115.0,Yes
5.38,94.0,Yes
5.94,106.0,No
5.12,100.0,No
5.82,86.0,No
7.62,105.0,Yes
6.9,82.0,No
9.02,118.0,Yes
8.68,93.0,Yes
6.54,103.0,Yes
6.17,104.0,No
6.71,96.0,Yes
7.66,109.0,Yes
6.21,93.0,Yes
7.81,113.0,Yes
6.84,80.0,Yes
7.48,102.0,Yes
6.96,129.0,Yes
6.33,85.0,No
9.27,90.0,Yes
8.44,108.0,Yes
5.63,103.0,Yes
8.91,105.0,Yes
7.19,107.0,Yes
9.03,110.0,Yes
8.6,117.0,Yes
6.91,106.0,Yes
5.1,96.0,Yes
6.21,110.0,No
7.44,128.0,Yes
7.85,98.0,Yes
6.16,85.0,Yes
5.63,117.0,Yes
8.76,98.0,Yes
9.43,67.0,Yes
7.37,113.0,Yes
5.77,92.0,Yes
6.23,99.0,No
5.08,105.0,Yes
9.11,103.0,Yes
5.53,111.0,Yes
7.59,93.0,Yes
6.23,108.0,Yes
7.49,96.0,Yes
7.93,111.0,Yes
8.73,109.0,Yes
5.93,86.0,No
5.05,116.0,Yes
5.62,92.0,Yes
9.05,112.0,Yes
8.93,106.0,Yes
7.69,128.0,Yes
7.7,97.0,Yes
7.99,95.0,Yes
5.79,100.0,Yes
9.11,95.0,Yes
6.88,112.0,Yes
6.72,76.0,Yes
7.34,84.0,Yes
5.21,84.0,Yes
5.75,114.0,Yes
8.32,126.0,Yes
5.37,98.0,Yes
7.71,97.0,Yes
6.1,101.0,No
6.75,117.0,Yes
6.3,86.0,Yes
6.6,104.0,Yes
8.24,115.0,Yes
6.34,108.0,No
7.55,103.0,Yes
7.14,115.0,Yes
7.99,59.0,No
9.22,110.0,Yes
8.3,90.0,Yes
5.97,73.0,Yes
5.14,108.0,No
6.18,121.0,Yes
7.68,98.0,Yes
5.23,114.0,Yes
7.23,124.0,Yes
7.69,120.0,Yes
6.5,125.0,Yes
8.47,111.0,Yes
5.48,101.0,Yes
5.34,76.0,Yes
8.28,96.0,Yes
7.23,87.0,Yes
8.1,133.0,Yes
6.96,97.0,Yes
6.11,102.0,No
8.69,108.0,Yes
8.6,101.0,Yes
8.13,125.0,Yes
6.22,91.0,Yes
7.66,103.0,Yes
6.62,89.0,Yes
5.41,80.0,No
9.13,91.0,Yes
5.62,99.0,No
9.28,94.0,Yes
7.01,90.0,Yes
